t,r0,r1,r2,r3,r4,c0,c1,c2,c3,c4
6.33,0.02063108770172222,0.01565636447069288,0.010613415701733846,0.005882407785106752,0.006812454890724419,0.020631087701722218,0.015656364470692873,0.010613415701733846,0.005882407785106768,0.006812454890724436
6.34,0.020630032606688067,0.01564616134350917,0.01060180149471943,0.00588439350171033,0.00681415399614856,0.020630032606688064,0.015646161343509164,0.01060180149471943,0.005884393501710347,0.0068141539961485776
6.3500000000000005,0.020628975540865145,0.015635964344242494,0.01059021105524173,0.005886380512359074,0.006815847226741346,0.02062897554086514,0.015635964344242487,0.01059021105524173,0.005886380512359089,0.006815847226741362
6.36,0.020627916506876943,0.015625773488275204,0.010578644343164165,0.005888368771582674,0.006817534603608416,0.02062791650687694,0.015625773488275197,0.010578644343164165,0.005888368771582691,0.006817534603608432
6.37,0.020626855507344107,0.01561558879086885,0.010567101318351044,0.005890358234360859,0.006819216147789408,0.020626855507344104,0.015615588790868842,0.010567101318351044,0.005890358234360876,0.0068192161477894225
6.38,0.020625792544884464,0.01560541026716481,0.010555581940668333,0.00589234885611951,0.006820891880257836,0.02062579254488446,0.015605410267164803,0.010555581940668333,0.005892348856119528,0.006820891880257852
6.390000000000001,0.020624727622113016,0.015595237932184947,0.010544086169984368,0.005894340592726832,0.00682256182192099,0.020624727622113013,0.01559523793218494,0.010544086169984368,0.005894340592726851,0.006822561821921006
6.4,0.02062366074164194,0.015585071800832235,0.010532613966170602,0.005896333400489547,0.006824225993619834,0.020623660741641937,0.015585071800832228,0.010532613966170602,0.005896333400489565,0.00682422599361985
6.41,0.0206225919060806,0.015574911887891417,0.010521165289102312,0.0058983272361491255,0.006825884416128923,0.020622591906080595,0.01557491188789141,0.010521165289102312,0.005898327236149145,0.00682588441612894
6.42,0.020621521118035543,0.01556475820802961,0.010509740098659317,0.005900322056878044,0.006827537110156313,0.02062152111803554,0.015564758208029604,0.010509740098659317,0.0059003220568780625,0.00682753711015633
6.43,0.020620448380110516,0.015554610775796974,0.010498338354726673,0.005902317820276077,0.00682918409634349,0.020620448380110512,0.015554610775796967,0.010498338354726673,0.005902317820276095,0.006829184096343508
6.44,0.02061937369490643,0.015544469605627295,0.010486960017195375,0.005904314484366616,0.006830825395265302,0.020619373694906427,0.015544469605627288,0.010486960017195375,0.005904314484366635,0.006830825395265319
6.45,0.020618297065021423,0.01553433471183865,0.010475605045963047,0.00590631200759303,0.006832461027429895,0.02061829706502142,0.015534334711838644,0.010475605045963047,0.005906312007593049,0.006832461027429911
6.46,0.02061721849305081,0.015524206108634007,0.010464273400934608,0.005908310348815044,0.006834091013278662,0.020617218493050808,0.015524206108634,0.010464273400934608,0.005908310348815062,0.00683409101327868
